x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,PERIOD,CURRENT_FLAG,NORMAL_CODE,NORMAL_ID,PUBLICATION_CODE,DATE_CALCULATED,FIRST_OCCURRENCE_DATE,PROVINCE_CODE,PERIOD_BEGIN,PERIOD_END,FIRST_YEAR,FIRST_YEAR_NORMAL_PERIOD,LAST_YEAR,LAST_YEAR_NORMAL_PERIOD,YEAR_COUNT_NORMAL_PERIOD,TOTAL_OBS_COUNT,OCCURRENCE_COUNT,MAX_DURATION_MISSING_YEARS,PERCENT_OF_POSSIBLE_OBS,E_NORMAL_ELEMENT_NAME,F_NORMAL_ELEMENT_NAME,MONTH,VALUE
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.50.1,NORM,Y,A,50,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,22312,,0,99.96,Days with wind chill value LT -30,Jours avec facteur de refroidissement éolien < -30,1,0.37
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.51.1,NORM,Y,A,51,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,22312,,0,99.96,Days with wind chill value LT -40,Jours avec facteur de refroidissement éolien < -40,1,0
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.90.1,NORM,Y,A,90,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,22312,,0,99.96,Mean of hourly wind speed kmh,Moyenne de la vitesse horaire du vent en km/h,1,25.98
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.91.1,NORM,Y,A,91,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,22312,,0,99.96,Most frequently occurring wind direction deg true,Direction du vent la plus fréquente en degrés vrais,1,270
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.96.1,NORM,Y,A,96,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,22312,,0,99.96,Days with at least one hourly wind speed LE 5 kmh,Jours avec au moins une vitesse horaire du vent <= 5 km/h,1,10.2
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.97.1,NORM,Y,A,97,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,22312,,0,99.96,Days with at least one hourly wind speed GT 10 kmh,Jours avec au moins une vitesse horaire du vent > 10 km/h,1,30.97
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.98.1,NORM,Y,A,98,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,22312,,0,99.96,Days with at least one hourly wind speed GT 20 kmh,Jours avec au moins une vitesse horaire du vent > 20 km/h,1,29.8
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.99.1,NORM,Y,A,99,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,22312,,0,99.96,Days with at least one hourly wind speed GT 30 kmh,Jours avec au moins une vitesse horaire du vent > 30 km/h,1,23.8
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.100.1,NORM,Y,A,100,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,22312,,0,99.96,Days with at least one hourly wind speed GT 40 kmh,Jours avec au moins une vitesse horaire du vent > 40 km/h,1,16.83
-52.742777777777775,47.62222222222222,ST JOHN'S A,8403506,6720.101.1,NORM,Y,A,101,1,2012-12-05 14:10:21,,NL,1981,2010,,1981,,2010,30,22312,,0,99.96,Days with at least one hourly wind speed GT 50 kmh,Jours avec au moins une vitesse horaire du vent > 50 km/h,1,8.83
